trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
59,False,"{'a': 0.5, 'e': 0.418951549247639}",30,8,11.374389066356475,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.4127141732790497}",25,14,7.780155283947117,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.40656965974059917}",20,3,23.64693628324436,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.40051662609081884}",20,6,-39.31740542920326,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
63,False,"{'a': 0.5, 'e': 0.39455371037160114}",30,3,-11.595769555444916,"{0: 23, 1: 1, 2: 2, 3: 1, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.38867957090175304}",20,8,-16.854052336691755,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.38289288597511206}",30,12,-38.526456350849955,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
66,False,"{'a': 0.5, 'e': 0.37719235356315695}",30,3,-46.18014559442519,"{0: 23, 1: 1, 2: 1, 3: 1, 4: 1}",1
67,False,"{'a': 0.5, 'e': 0.3715766910220457}",25,0,7.52607252925593,"{0: 21, 1: 3, 2: 1, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.3660446348040154}",25,7,22.872376170946687,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.3605949401730783}",20,0,13.072887727147618,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.3552263809249515}",20,16,6.580892285937933,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.3499377491111553}",25,14,-6.669749690506308,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.3447278547672202}",30,3,-5.856512980381552,"{0: 22, 1: 4, 2: 0, 3: 1, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.3395955256449391}",25,0,-66.7621809245592,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.3345396069486076}",20,1,-10.864934716031907,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.3295589610751891}",25,11,1.0816430518821762,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.32465246735834974}",20,8,-23.561238661111112,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
77,False,"{'a': 0.5, 'e': 0.31981902181630395}",20,2,4.342942935270085,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.3150575369034133}",20,11,15.119505384313651,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.31036694126548503}",30,13,-32.616337283933575,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
80,False,"{'a': 0.5, 'e': 0.30574617949871175}",20,0,0.06752177612561905,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.30119421191220214}",20,16,9.11099383883096,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.2967100142940453}",30,17,14.493746614335484,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.2922925776808594}",25,0,-70.30586523960953,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.2879409081307703}",30,8,-5.958144225455666,"{0: 18, 1: 2, 2: 1, 3: 1, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.2836540264997704}",30,13,2.588089797681498,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.27943096822140734}",25,3,32.41624937216399,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.27527078308975234}",20,7,1.3742309481906736,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.2711725350455999}",20,12,-0.9328536726067798,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.2671353019658504}",20,6,15.48895959782731,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.2631581754560287}",25,13,17.465521250333232,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.25924026064589156}",25,13,21.32206382832323,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.2553806759880777}",30,7,-16.676444278868644,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.2515785530597565}",25,20,9.343459373460401,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.24783303636722875}",20,0,6.994125029709198,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.2441432831534371}",20,9,14.325031872735245,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.24050846320834213}",30,21,19.841348651161567,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.23692775868212176}",20,6,-30.857265182242067,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
98,False,"{'a': 0.5, 'e': 0.23340036390115138}",30,10,25.23143293381749,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.22992548518672384}",20,12,-6.0024695511182165,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.2265023406764688}",30,0,13.9545652283589,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.22313016014842982}",35,17,-20.215503942359337,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
102,False,"{'a': 0.5, 'e': 0.21980818484776174}",25,20,7.976068922601463,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.21653566731600707}",35,5,18.34836936423821,"{0: 27, 1: 2, 2: 1, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.21331187122291523}",25,11,-13.229480706145559,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.21013607120076472}",35,19,15.909514813925856,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.20700755268115265}",25,17,18.72353934655639,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
